it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
633,51,17,9, 25, 13,38
634,51,17,9, 25, 13,38
635,51,17,9, 25, 13,38
636,51,17,9, 25, 13,38
637,51,17,9, 25, 13,38
638,51,17,9, 25, 13,38
639,51,17,9, 25, 13,38
640,51,17,9, 25, 13,38
641,51,17,9, 25, 13,38
642,51,17,9, 25, 13,38
643,51,17,9, 25, 13,38
644,51,17,9, 25, 13,38
645,51,17,9, 25, 13,38
646,51,17,9, 25, 13,38
647,51,17,9, 25, 13,38
648,51,17,9, 25, 13,38
649,51,17,9, 25, 13,38
650,51,17,9, 25, 13,38
651,51,17,9, 25, 13,38
652,51,17,9, 25, 13,38
653,51,17,9, 25, 13,38
654,52,18,9, 25, 14,38
655,52,18,9, 25, 14,38
656,52,18,9, 25, 14,38
657,52,18,9, 25, 14,38
658,52,18,9, 25, 14,38
659,52,18,9, 25, 14,38
660,52,18,9, 25, 14,38
661,52,18,9, 25, 14,38
662,52,18,9, 25, 14,38
663,52,18,9, 25, 14,38
664,52,18,9, 25, 14,38
665,52,18,9, 25, 14,38
666,52,18,9, 25, 14,38
667,52,18,9, 25, 14,38
668,52,18,9, 25, 14,38
669,52,18,9, 25, 14,38
670,52,18,9, 25, 14,38
671,52,18,9, 25, 14,38
672,52,18,9, 25, 14,38
673,52,18,9, 25, 14,38
674,52,18,9, 25, 14,38
675,52,18,9, 25, 14,38
676,52,18,9, 25, 14,38
677,52,18,9, 25, 14,38
678,52,18,9, 25, 14,38
679,52,18,9, 25, 14,38
680,52,18,9, 25, 14,38
681,52,18,9, 25, 14,38
682,52,18,9, 25, 14,38
683,52,18,9, 25, 14,38
684,52,18,9, 25, 14,38
685,52,18,9, 25, 14,38
686,52,18,9, 25, 14,38
687,52,18,9, 25, 14,38
688,52,18,9, 25, 14,38
689,52,18,9, 25, 14,38
690,53,19,9, 25, 15,38
691,53,19,9, 25, 15,38
692,53,19,9, 25, 15,38
693,53,19,9, 25, 15,38
694,53,19,9, 25, 15,38
695,53,19,9, 25, 15,38
696,53,19,9, 25, 15,38
697,53,19,9, 25, 15,38
698,53,19,9, 25, 15,38
699,53,19,9, 25, 15,38
700,53,19,9, 25, 15,38
701,53,19,9, 25, 15,38
702,53,19,9, 25, 15,38
703,53,19,9, 25, 15,38
704,53,19,9, 25, 15,38
705,53,19,9, 25, 15,38
706,53,19,9, 25, 15,38
707,53,19,9, 25, 15,38
708,53,19,9, 25, 15,38
709,53,19,9, 25, 15,38
710,53,19,9, 25, 15,38
711,53,19,9, 25, 15,38
712,53,19,9, 25, 15,38
713,53,19,9, 25, 15,38
714,53,19,9, 25, 15,38
715,53,19,9, 25, 15,38
716,53,19,9, 25, 15,38
717,53,19,9, 25, 15,38
718,53,19,9, 25, 15,38
719,53,19,9, 25, 15,38
720,53,19,9, 25, 15,38
721,53,19,9, 25, 15,38
722,53,19,9, 25, 15,38
